Date,Close/Last,Open,High,Low
09/04/2018,78.17,77.77,79.71,77.32
08/31/2018,77.64,77.77,78.44,77.32
08/30/2018,77.77,77.31,78.00,77.21
08/29/2018,77.14,75.91,77.42,75.70
08/28/2018,75.95,76.29,76.96,75.73
08/27/2018,76.21,75.61,76.35,75.40
08/24/2018,75.82,74.74,76.40,74.70
08/23/2018,74.73,74.89,74.89,74.21
08/22/2018,74.78,72.75,74.99,72.68
08/21/2018,72.63,72.13,72.95,72.06
08/20/2018,72.21,71.78,72.74,71.45
08/17/2018,71.83,71.35,72.48,71.27
08/16/2018,71.43,70.77,71.51,70.40
08/15/2018,70.76,72.17,72.44,70.30
08/14/2018,72.46,72.88,73.93,72.10
08/13/2018,72.61,72.99,73.09,71.04
08/10/2018,72.81,72.00,73.14,71.41
08/09/2018,72.07,72.13,72.88,71.85
08/08/2018,72.28,74.53,74.86,71.66
08/07/2018,74.65,73.66,74.90,73.60
08/06/2018,73.75,73.29,74.46,73.14
08/03/2018,73.21,73.44,73.73,72.48
08/02/2018,73.45,72.60,73.74,71.84
08/01/2018,72.39,74.21,74.24,72.14
07/31/2018,74.25,74.89,75.10,74.18
07/30/2018,74.97,74.35,75.27,74.15
07/27/2018,74.29,74.47,74.85,73.83
07/26/2018,74.54,74.35,74.82,73.78
07/25/2018,73.93,73.66,74.30,73.08
07/24/2018,73.44,73.00,74.01,72.68
07/23/2018,73.06,72.92,74.49,72.53
07/20/2018,73.07,72.59,73.47,72.29
07/19/2018,72.58,72.98,73.80,71.83
07/18/2018,72.90,71.64,73.27,71.20
07/17/2018,72.16,71.90,72.78,71.36
07/16/2018,71.84,75.00,75.37,71.53
07/13/2018,75.33,74.33,75.92,73.23
07/12/2018,74.45,73.78,75.13,72.68
07/11/2018,73.40,78.83,78.89,73.04
07/10/2018,78.86,78.25,79.50,78.21
07/09/2018,78.07,77.24,78.31,77.07
07/06/2018,77.11,77.58,77.70,76.37
07/05/2018,77.39,78.11,78.49,77.31
07/03/2018,77.76,77.95,78.27,77.60
07/02/2018,77.30,78.90,78.93,77.18
06/29/2018,79.23,77.77,79.70,77.77
06/28/2018,77.85,77.51,78.40,77.11
06/27/2018,77.62,76.48,78.17,76.28
06/26/2018,76.31,74.75,76.70,74.13
06/25/2018,74.73,75.07,75.13,73.74
06/22/2018,75.55,73.37,75.81,73.18
06/21/2018,73.05,74.36,74.68,72.94
06/20/2018,74.74,75.02,75.85,74.11
06/19/2018,75.08,75.42,75.53,74.45
06/18/2018,75.34,73.05,75.54,72.44
06/15/2018,73.44,76.00,76.07,73.07
06/14/2018,75.94,76.55,76.91,75.77
06/13/2018,76.74,75.48,76.87,75.20
06/12/2018,75.88,76.45,77.07,75.45
06/11/2018,76.46,76.39,76.82,75.53
06/08/2018,76.46,77.26,77.58,76.14
06/07/2018,77.32,75.91,77.37,75.42
06/06/2018,75.36,75.09,76.26,74.47
06/05/2018,75.38,75.52,75.73,73.82
06/04/2018,75.29,76.61,76.93,75.20
06/01/2018,76.79,77.70,77.94,76.35
05/31/2018,77.56,77.70,79.16,76.96
05/30/2018,77.50,75.40,77.72,74.88
05/29/2018,75.39,76.18,76.18,74.49
05/25/2018,76.44,76.18,76.18,74.49
05/24/2018,78.79,79.71,79.84,78.57
05/23/2018,79.80,79.49,79.85,78.23
05/22/2018,79.57,79.49,80.49,79.17
05/21/2018,79.22,78.53,79.59,78.11
05/18/2018,78.51,79.51,79.86,78.33
05/17/2018,79.30,79.24,80.50,79.12
05/16/2018,79.28,78.13,79.33,77.63
05/15/2018,78.43,78.53,79.45,77.90
05/14/2018,78.23,77.09,78.52,76.54
05/11/2018,77.12,77.41,77.59,76.95
05/10/2018,77.47,77.29,77.97,76.50
05/09/2018,77.21,75.86,77.41,75.86
05/08/2018,74.85,75.66,76.18,73.10
05/07/2018,76.17,74.98,76.33,74.85
05/04/2018,74.87,73.76,75.05,73.25
05/03/2018,73.62,73.14,74.08,72.48
05/02/2018,73.36,73.21,73.62,72.37
05/01/2018,73.13,74.65,74.99,72.75
04/30/2018,75.17,74.38,75.36,73.55
04/27/2018,74.64,74.71,75.01,74.38
04/26/2018,74.74,74.07,74.95,74.06
04/25/2018,74.00,73.95,74.18,73.18
04/24/2018,73.86,74.90,75.46,73.70
04/23/2018,74.71,73.88,75.11,73.13
04/20/2018,74.06,74.00,74.20,72.83
04/19/2018,73.78,73.76,74.74,73.46
04/18/2018,73.48,71.77,73.92,71.65
04/17/2018,71.58,71.60,71.88,70.83
04/16/2018,71.42,72.62,72.88,71.13
04/13/2018,72.58,72.17,72.86,71.61
04/12/2018,72.02,71.93,72.46,71.09
04/11/2018,72.06,71.03,73.08,70.56
04/10/2018,71.04,68.56,71.32,68.48
04/09/2018,68.65,67.03,68.80,67.03
04/06/2018,67.11,68.59,68.62,66.86
04/05/2018,68.33,68.35,68.92,67.73
04/04/2018,68.02,68.14,68.27,66.70
04/03/2018,68.12,67.65,68.42,67.59
04/02/2018,67.64,69.42,70.03,67.48
03/29/2018,69.34,69.01,69.76,68.25
03/28/2018,69.53,69.68,70.25,68.78
03/27/2018,70.11,70.21,71.03,69.46
03/26/2018,70.12,70.64,71.05,69.67
03/23/2018,70.45,68.90,70.57,68.80
03/22/2018,68.91,69.77,69.91,68.58
03/21/2018,69.47,67.56,69.85,67.47
03/20/2018,67.42,66.20,67.89,66.17
03/19/2018,66.05,66.12,66.35,65.39
03/16/2018,66.21,65.05,66.42,64.89
03/15/2018,65.12,64.85,65.39,64.61
03/14/2018,64.89,64.67,65.19,64.07
03/13/2018,64.64,64.92,65.66,64.04
03/12/2018,64.95,65.54,65.83,64.18
03/09/2018,65.49,63.85,65.62,63.70
03/08/2018,63.61,64.55,64.55,63.43
03/07/2018,64.34,65.43,65.78,63.84
03/06/2018,65.79,65.59,66.15,65.31
03/05/2018,65.54,64.69,65.87,64.10
03/02/2018,64.37,64.24,64.68,63.20
03/01/2018,63.83,64.76,65.02,63.18
02/28/2018,65.78,66.33,66.88,65.54
02/27/2018,66.63,67.56,67.63,66.37
